epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5382.56,0.48788,0.66952,1.01147,0.73725,0.77492,0.84654,0.76832,0.44375,0.74185,0.85571,0.002377,0.002377,0.002377
79,5447.21,0.47946,0.66417,1.00882,0.74309,0.77173,0.84589,0.76748,0.44471,0.74143,0.85737,0.002278,0.002278,0.002278
80,5511.64,0.48167,0.66515,1.00922,0.74955,0.7628,0.84521,0.76641,0.44514,0.74189,0.85891,0.002179,0.002179,0.002179
81,5576.02,0.48283,0.66255,1.00744,0.74309,0.76641,0.84556,0.76672,0.44545,0.74144,0.85972,0.00208,0.00208,0.00208
82,5640.41,0.48012,0.65561,1.00791,0.74134,0.76948,0.84524,0.76607,0.44708,0.74206,0.8615,0.001981,0.001981,0.001981
83,5705.03,0.47632,0.65373,1.00918,0.75375,0.75399,0.84566,0.7669,0.44764,0.74045,0.86163,0.001882,0.001882,0.001882
84,5770.06,0.47195,0.64845,1.00428,0.74283,0.76526,0.84647,0.76716,0.44751,0.74103,0.86049,0.001783,0.001783,0.001783
85,5834.22,0.47124,0.64772,1.00431,0.7555,0.74737,0.8461,0.76648,0.44885,0.74114,0.86194,0.001684,0.001684,0.001684
86,5898.59,0.4719,0.64288,1.00358,0.75294,0.75281,0.8465,0.76641,0.44868,0.74027,0.86067,0.001585,0.001585,0.001585
87,5962.71,0.47353,0.64216,1.00413,0.75283,0.75636,0.8463,0.76668,0.44828,0.74025,0.85949,0.001486,0.001486,0.001486
88,6027.09,0.47265,0.63865,1.00379,0.74673,0.76227,0.84619,0.76718,0.44785,0.7404,0.85945,0.001387,0.001387,0.001387
89,6091.72,0.46619,0.63229,1.00043,0.74515,0.76426,0.84594,0.76716,0.44831,0.74024,0.8601,0.001288,0.001288,0.001288
90,6156.85,0.46669,0.63284,1.001,0.74915,0.7612,0.84563,0.76687,0.44861,0.74015,0.86085,0.001189,0.001189,0.001189
91,6249.87,0.38127,0.51534,0.94165,0.75831,0.7605,0.84565,0.76676,0.4463,0.73885,0.85851,0.00109,0.00109,0.00109
92,6313.61,0.37099,0.48198,0.93805,0.756,0.7622,0.84584,0.76641,0.44528,0.7383,0.85784,0.000991,0.000991,0.000991
93,6376.83,0.36379,0.4697,0.9357,0.7601,0.75813,0.84598,0.76789,0.44536,0.73879,0.85808,0.000892,0.000892,0.000892
94,6439.54,0.36471,0.4625,0.93456,0.76739,0.7534,0.84634,0.76749,0.44467,0.73918,0.85752,0.000793,0.000793,0.000793
95,6503,0.36167,0.45336,0.93098,0.75504,0.75991,0.84548,0.76722,0.44451,0.73993,0.85724,0.000694,0.000694,0.000694
96,6565.62,0.3571,0.44385,0.92812,0.76369,0.75636,0.84508,0.76698,0.44491,0.74055,0.85749,0.000595,0.000595,0.000595
97,6645.02,0.35665,0.43482,0.92766,0.7619,0.75813,0.84477,0.76678,0.44484,0.74085,0.85771,0.000496,0.000496,0.000496
98,6715.38,0.35377,0.43001,0.92735,0.75855,0.75931,0.84425,0.76629,0.44485,0.742,0.85794,0.000397,0.000397,0.000397
99,6800.81,0.35037,0.42593,0.92434,0.75968,0.75636,0.84366,0.76573,0.44488,0.74365,0.85818,0.000298,0.000298,0.000298
100,6872.41,0.34766,0.42525,0.92409,0.75811,0.75931,0.84318,0.76484,0.44501,0.74525,0.8585,0.000199,0.000199,0.000199
